id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Raleigh St. Clair,Hello,html.Page,0,2022-03-01T09:21:08.631Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,58,,,64970.25100002384,form submission,male,,,66144.80000001192,66144.10000002384,1157.182,1140.800000011921,1173.849,66141.815,{},
,Instructions,html.Page,1,2022-03-01T09:21:10.349Z,,,,,,1720.4850000119186,form submission,,,,67863,67862.30000001192,66125.148,66145.30000001192,66141.815,67875.183,,
,Change Background,canvas.Screen,2,2022-03-01T09:21:13.347Z,,,,,,3000.0599999999977,timeout,,,,70860.60000002384,70858.576,67858.516,67863.30000001192,67875.183,70875.243,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T09:21:15.764Z,,,,0,V,2416.7149999999965,timeout,,,,73277.90000003576,73275.291,70858.576,70861.40000003576,70875.243,73291.958,,white
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T09:21:15.864Z,,,,0,V,100.00200000000768,timeout,,,,73377.60000002384,73375.293,73275.291,73278.30000001192,73291.958,73391.96,,white
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T09:21:16.108Z,,,,0,V,225.14000002383546,response,,stim_detected,keydown(Space),73622.19999998808,73617.10000002384,73375.293,73377.80000001192,73391.96,73625.298,,white
,Trial,flow.Sequence,3_0_0,2022-03-01T09:21:16.109Z,,,,0,V,2741.8570000238396,completion,,,,73622.60000002384,73617.10000002384,70858.576,70861.30000001192,70875.243,73625.298,,white
,Frame,canvas.Frame,3_0,2022-03-01T09:21:16.109Z,,,,0,V,2747.456999988077,,,,,73623,73622.69999998808,70858.576,70860.80000001192,70875.243,73625.298,,white
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T09:21:17.763Z,,,,0,V,1666.7000000000116,timeout,,,,75277.30000001192,75275.331,73608.631,73624.60000002384,73625.298,75291.998,,white
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T09:21:17.863Z,,,,0,V,100.00199999999313,timeout,,,,75376.60000002384,75375.333,75275.331,75277.69999998808,75291.998,75392,,white
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T09:21:18.044Z,,,,0,V,161.80000001192093,response,,stim_detected,keydown(Space),75558.19999998808,75553.80000001192,75375.333,75377,75392,75575.337,,white
,Trial,flow.Sequence,3_1_0,2022-03-01T09:21:18.045Z,,,,0,V,1928.5020000119257,completion,,,,75558.80000001192,75553.80000001192,73608.631,73624.40000003576,73625.298,75575.337,,white
,Frame,canvas.Frame,3_1,2022-03-01T09:21:18.045Z,,,,0,V,1933.6020000357676,,,,,75559.10000002384,75558.90000003576,73608.631,73623.19999998808,73625.298,75575.337,,white
,Fixation,canvas.Screen,3_2_0_0,2022-03-01T09:21:20.213Z,,,,1,A,2166.7100000000064,timeout,,,,77727.10000002384,77725.38,75558.67,75560.30000001192,75575.337,77742.047,,grey
,Stimulus,canvas.Screen,3_2_0_1,2022-03-01T09:21:20.314Z,,,,1,A,100.00199999999313,timeout,,,,77827.5,77825.382,77725.38,77727.30000001192,77742.047,77842.049,,grey
,Reaction,canvas.Screen,3_2_0_2,2022-03-01T09:21:20.651Z,,,,1,A,318.5510000238428,response,,stim_detected,keydown(Space),78165.19999998808,78160.60000002384,77825.382,77827.69999998808,77842.049,78175.389,,grey
,Trial,flow.Sequence,3_2_0,2022-03-01T09:21:20.652Z,,,,1,A,2585.2630000238423,completion,,,,78165.60000002384,78160.60000002384,75558.67,75560.19999998808,75575.337,78175.389,,grey
,Frame,canvas.Frame,3_2,2022-03-01T09:21:20.652Z,,,,1,A,2590.3629999880795,,,,,78165.80000001192,78165.69999998808,75558.67,75559.19999998808,75575.337,78175.389,,grey
,Fixation,canvas.Screen,3_3_0_0,2022-03-01T09:21:22.971Z,,,,1,VA,2250.0449999999983,timeout,,,,80410.30000001192,80408.767,78158.722,78166.90000003576,78175.389,80425.434,,white
,Stimulus,canvas.Screen,3_3_0_1,2022-03-01T09:21:23.071Z,,,,1,VA,100.00200000000768,timeout,,,,80510.19999998808,80508.769,80408.767,80410.5,80425.434,80525.436,,white
,Reaction,canvas.Screen,3_3_0_2,2022-03-01T09:21:23.344Z,,,,1,VA,252.96400003576127,response,,stim_detected,keydown(Space),80782.80000001192,80778.40000003576,80508.769,80510.40000003576,80525.436,80792.108,,white
,Trial,flow.Sequence,3_3_0,2022-03-01T09:21:23.344Z,,,,1,VA,2603.011000035767,completion,,,,80783.10000002384,80778.40000003576,78158.722,78166.80000001192,78175.389,80792.108,,white
,Frame,canvas.Frame,3_3,2022-03-01T09:21:23.344Z,,,,1,VA,2607.8109999880835,,,,,80783.30000001192,80783.19999998808,78158.722,78165.90000003576,78175.389,80792.108,,white
,Fixation,canvas.Screen,3_4_0_0,2022-03-01T09:21:25.055Z,,,,1,A,1716.701000000001,timeout,,,,82494.40000003576,82492.142,80775.441,80784.40000003576,80792.108,82508.809,,grey
,Stimulus,canvas.Screen,3_4_0_1,2022-03-01T09:21:25.154Z,,,,1,A,100.00200000000768,timeout,,,,82593.40000003576,82592.144,82492.142,82494.5,82508.809,82608.811,,grey
,Reaction,canvas.Screen,3_4_0_2,2022-03-01T09:21:25.362Z,,,,1,A,187.38899998807756,response,,stim_detected,keydown(Space),82800.90000003576,82796.19999998808,82592.144,82593.40000003576,82608.811,82808.815,,grey
,Trial,flow.Sequence,3_4_0,2022-03-01T09:21:25.362Z,,,,1,A,2004.0919999880862,completion,,,,82801.19999998808,82796.19999998808,80775.441,80784.30000001192,80792.108,82808.815,,grey
,Frame,canvas.Frame,3_4,2022-03-01T09:21:25.362Z,,,,1,A,2009.0919999880862,,,,,82801.40000003576,82801.19999998808,80775.441,80783.40000003576,80792.108,82808.815,,grey
,Fixation,canvas.Screen,3_5_0_0,2022-03-01T09:21:27.788Z,,,,1,A,2433.381999999998,timeout,,,,85227.40000003576,85225.53,82792.148,82802.5,82808.815,85242.197,,grey
,Stimulus,canvas.Screen,3_5_0_1,2022-03-01T09:21:27.889Z,,,,1,A,100.00199999999313,timeout,,,,85327.90000003576,85325.532,85225.53,85227.5,85242.197,85342.199,,grey
,Reaction,canvas.Screen,3_5_0_2,2022-03-01T09:21:28.138Z,,,,1,A,230.10100001192768,response,,stim_detected,keydown(Space),85577,85572.30000001192,85325.532,85328,85342.199,85592.204,,grey
