id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Pagoda,Hello,html.Page,0,2022-03-01T10:31:49.832Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,70,,,11843.032999976158,form submission,male,,,13135.199999988079,13134.399999976158,1274.7,1273.8999999761581,1291.367,13124.937,{},
,Instructions,html.Page,1,2022-03-01T10:31:50.699Z,,,,,,876.2629999880792,form submission,,,,14001.899999976158,14001.199999988079,13108.27,13135.800000011921,13124.937,14008.288,,
,Change Background,canvas.Screen,2,2022-03-01T10:31:53.692Z,,,,,,3000.0600000000013,timeout,,,,16995,16991.681,13991.621,14002.100000023842,14008.288,17008.348,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T10:31:56.008Z,,,,1,VA,2316.7129999999997,timeout,,,,19311,19308.394,16991.681,16996.600000023842,17008.348,19325.061,,white
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T10:31:56.108Z,,,,1,VA,100.00199999999677,timeout,,,,19410.80000001192,19408.396,19308.394,19311.30000001192,19325.061,19425.063,,white
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T10:31:56.394Z,,,,1,VA,253.1369999880808,response,,stim_detected,keydown(Space),19697.30000001192,19678.19999998808,19408.396,19411,19425.063,19691.735,,white
,Trial,flow.Sequence,3_0_0,2022-03-01T10:31:56.394Z,,,,1,VA,2669.8519999880773,completion,,,,19697.600000023842,19678.19999998808,16991.681,16996.5,17008.348,19691.735,,white
,Frame,canvas.Frame,3_0,2022-03-01T10:31:56.395Z,,,,1,VA,2689.25200002384,,,,,19697.69999998808,19697.600000023842,16991.681,16995.30000001192,17008.348,19691.735,,white
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T10:31:57.991Z,,,,1,A,1616.6990000000005,timeout,,,,21294.100000023842,21291.767,19675.068,19698.399999976158,19691.735,21308.434,,grey
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T10:31:58.091Z,,,,1,A,100.00200000000041,timeout,,,,21394.100000023842,21391.769,21291.767,21294.5,21308.434,21408.436,,grey
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T10:31:58.343Z,,,,1,A,232.16400002384034,response,,stim_detected,keydown(Space),21645.5,21640.600000023842,21391.769,21394.399999976158,21408.436,21675.108,,grey
,Trial,flow.Sequence,3_1_0,2022-03-01T10:31:58.343Z,,,,1,A,1948.8650000238413,completion,,,,21646.19999998808,21640.600000023842,19675.068,19698.30000001192,19691.735,21675.108,,grey
,Frame,canvas.Frame,3_1,2022-03-01T10:31:58.343Z,,,,1,A,1954.5650000119203,,,,,21646.5,21646.30000001192,19675.068,19697.80000001192,19691.735,21675.108,,grey
,Fixation,canvas.Screen,3_2_0_0,2022-03-01T10:31:59.891Z,,,,1,VA,1533.3640000000014,timeout,,,,23194,23191.805,21641.774,21647.80000001192,21675.108,23208.472,,white
,Stimulus,canvas.Screen,3_2_0_1,2022-03-01T10:31:59.992Z,,,,1,VA,100.00199999999677,timeout,,,,23294.5,23291.807,23191.805,23194.30000001192,23208.472,23308.474,,white
,Reaction,canvas.Screen,3_2_0_2,2022-03-01T10:32:00.180Z,,,,1,VA,170.12600002384352,response,,stim_detected,keydown(Space),23483.30000001192,23478.600000023842,23291.807,23294.69999998808,23308.474,23491.811,,white
,Trial,flow.Sequence,3_2_0,2022-03-01T10:32:00.181Z,,,,1,VA,1803.4920000238417,completion,,,,23483.69999998808,23478.600000023842,21641.774,21647.69999998808,21675.108,23491.811,,white
,Frame,canvas.Frame,3_2,2022-03-01T10:32:00.181Z,,,,1,VA,1808.6920000119208,,,,,23483.899999976158,23483.80000001192,21641.774,21646.600000023842,21675.108,23491.811,,white
,Fixation,canvas.Screen,3_3_0_0,2022-03-01T10:32:02.424Z,,,,0,V,2250.0449999999983,timeout,,,,25727.19999998808,25725.189,23475.144,23485,23491.811,25741.856,,white
,Stimulus,canvas.Screen,3_3_0_1,2022-03-01T10:32:02.523Z,,,,0,V,100.00200000000041,timeout,,,,25826.19999998808,25825.191,25725.189,25727.399999976158,25741.856,25841.858,,white
,Reaction,canvas.Screen,3_3_0_2,2022-03-01T10:32:02.767Z,,,,0,V,223.64199999999983,response,,stim_detected,keydown(Space),26070,26065.5,25825.191,25826.399999976158,25841.858,26075.196,,white
,Trial,flow.Sequence,3_3_0,2022-03-01T10:32:02.767Z,,,,0,V,2573.6889999999985,completion,,,,26070.399999976158,26065.5,23475.144,23485,23491.811,26075.196,,white
,Frame,canvas.Frame,3_3,2022-03-01T10:32:02.768Z,,,,0,V,2578.6889999999985,,,,,26070.600000023842,26070.5,23475.144,23484,23491.811,26075.196,,white
,Fixation,canvas.Screen,3_4_0_0,2022-03-01T10:32:04.458Z,,,,0,V,1700.0339999999997,timeout,,,,27761,27758.563,26058.529,26071.69999998808,26075.196,27775.23,,white
,Stimulus,canvas.Screen,3_4_0_1,2022-03-01T10:32:04.558Z,,,,0,V,100.00200000000041,timeout,,,,27860.69999998808,27858.565,27758.563,27761.19999998808,27775.23,27875.232,,white
,Reaction,canvas.Screen,3_4_0_2,2022-03-01T10:32:04.790Z,,,,0,V,213.06800001192096,response,,stim_detected,keydown(Space),28092.80000001192,28088.30000001192,27858.565,27860.899999976158,27875.232,28108.57,,white
,Trial,flow.Sequence,3_4_0,2022-03-01T10:32:04.790Z,,,,0,V,2013.104000011921,completion,,,,28093.100000023842,28088.30000001192,26058.529,26071.600000023842,26075.196,28108.57,,white
,Frame,canvas.Frame,3_4,2022-03-01T10:32:04.791Z,,,,0,V,2017.904000023842,,,,,28093.5,28093.100000023842,26058.529,26070.600000023842,26075.196,28108.57,,white
,Fixation,canvas.Screen,3_5_0_0,2022-03-01T10:32:06.691Z,,,,1,VA,1900.0380000000005,timeout,,,,29993.899999976158,29991.941,28091.903,28094.600000023842,28108.57,30008.608,,white
