id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Royal Tenenbaum,Hello,html.Page,0,2022-03-01T09:07:50.369Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,71,,,21044.985000011922,form submission,male,,,22047.69999998808,22046.80000001192,985.148,994.8999999761581,1001.815,22035.569,{},
,Instructions,html.Page,1,2022-03-01T09:07:52.635Z,,,,,,2277.8309999761586,form submission,,,,24313.899999976158,24313.399999976158,22018.902,22048.19999998808,22035.569,24318.948,,
,Change Background,canvas.Screen,2,2022-03-01T09:07:55.626Z,,,,,,3000.0600000000013,timeout,,,,27305,27302.341,24302.281,24314.19999998808,24318.948,27319.008,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T09:07:58.043Z,,,,1,A,2416.715,timeout,,,,29721.5,29719.056,27302.341,27306.399999976158,27319.008,29735.723,,grey
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T09:07:58.142Z,,,,1,A,100.00199999999677,timeout,,,,29820.80000001192,29819.058,29719.056,29721.80000001192,29735.723,29835.725,,grey
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T09:07:58.685Z,,,,1,A,509.4749999880805,response,,stim_detected,keydown(Space),30364.30000001192,30345.19999998808,29819.058,29821,29835.725,30352.402,,grey
,Trial,flow.Sequence,3_0_0,2022-03-01T09:07:58.686Z,,,,1,A,3026.1919999880774,completion,,,,30364.69999998808,30345.19999998808,27302.341,27306.30000001192,27319.008,30352.402,,grey
,Frame,canvas.Frame,3_0,2022-03-01T09:07:58.686Z,,,,1,A,3045.6919999880774,,,,,30364.80000001192,30364.69999998808,27302.341,27305.30000001192,27319.008,30352.402,,grey
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T09:08:00.610Z,,,,1,A,1950.0390000000007,timeout,,,,32289,32285.774,30335.735,30365.600000023842,30352.402,32302.441,,grey
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T09:08:00.709Z,,,,1,A,100.00200000000041,timeout,,,,32387.399999976158,32385.776,32285.774,32289.5,32302.441,32402.443,,grey
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T09:08:01.014Z,,,,1,A,284.95699997615884,response,,stim_detected,keydown(Space),32692.399999976158,32687.399999976158,32385.776,32388,32402.443,32702.449,,grey
,Trial,flow.Sequence,3_1_0,2022-03-01T09:08:01.014Z,,,,1,A,2334.99799997616,completion,,,,32693.100000023842,32687.399999976158,30335.735,30365.600000023842,30352.402,32702.449,,grey
,Frame,canvas.Frame,3_1,2022-03-01T09:08:01.015Z,,,,1,A,2340.797999988081,,,,,32693.399999976158,32693.19999998808,30335.735,30364.899999976158,30352.402,32702.449,,grey
,Fixation,canvas.Screen,3_2_0_0,2022-03-01T09:08:02.776Z,,,,1,A,1766.7019999999975,timeout,,,,34454.5,34452.484,32685.782,32694.80000001192,32702.449,34469.151,,grey
,Stimulus,canvas.Screen,3_2_0_1,2022-03-01T09:08:02.876Z,,,,1,A,100.00200000000041,timeout,,,,34555,34552.486,34452.484,34454.69999998808,34469.151,34569.153,,grey
,Reaction,canvas.Screen,3_2_0_2,2022-03-01T09:08:03.203Z,,,,1,A,308.3470000000016,response,,stim_detected,keydown(Space),34882.10000002384,34877.5,34552.486,34555.19999998808,34569.153,34885.826,,grey
,Trial,flow.Sequence,3_2_0,2022-03-01T09:08:03.204Z,,,,1,A,2175.0509999999995,completion,,,,34882.5,34877.5,32685.782,32694.69999998808,32702.449,34885.826,,grey
,Frame,canvas.Frame,3_2,2022-03-01T09:08:03.204Z,,,,1,A,2180.1510000238413,,,,,34882.69999998808,34882.60000002384,32685.782,32693.600000023842,32702.449,34885.826,,grey
,Fixation,canvas.Screen,3_3_0_0,2022-03-01T09:08:04.693Z,,,,1,A,1500.0299999999988,timeout,,,,36371.69999998808,36369.189,34869.159,34883.80000001192,34885.826,36385.856,,grey
,Stimulus,canvas.Screen,3_3_0_1,2022-03-01T09:08:04.792Z,,,,1,A,100.00200000000041,timeout,,,,36470.89999997616,36469.191,36369.189,36371.89999997616,36385.856,36485.858,,grey
,Reaction,canvas.Screen,3_3_0_2,2022-03-01T09:08:05.108Z,,,,1,A,296.44200001192075,response,,stim_detected,keydown(Space),36787,36782.30000001192,36469.191,36471,36485.858,36802.531,,grey
,Trial,flow.Sequence,3_3_0,2022-03-01T09:08:05.109Z,,,,1,A,1896.47400001192,completion,,,,36787.39999997616,36782.30000001192,34869.159,34883.69999998808,34885.826,36802.531,,grey
,Frame,canvas.Frame,3_3,2022-03-01T09:08:05.109Z,,,,1,A,1901.673999999999,,,,,36787.60000002384,36787.5,34869.159,34882.80000001192,34885.826,36802.531,,grey
,Fixation,canvas.Screen,3_4_0_0,2022-03-01T09:08:07.108Z,,,,0,V,2000.0400000000009,timeout,,,,38787.19999998808,38785.904,36785.864,36788.69999998808,36802.531,38802.571,,white
,Stimulus,canvas.Screen,3_4_0_1,2022-03-01T09:08:07.210Z,,,,0,V,100.00199999999313,timeout,,,,38888.69999998808,38885.906,38785.904,38787.60000002384,38802.571,38902.573,,white
,Reaction,canvas.Screen,3_4_0_2,2022-03-01T09:08:07.499Z,,,,0,V,270.6269999880824,response,,stim_detected,keydown(Space),39178.19999998808,39173.19999998808,38885.906,38889,38902.573,39185.912,,white
,Trial,flow.Sequence,3_4_0,2022-03-01T09:08:07.500Z,,,,0,V,2370.6689999880764,completion,,,,39178.5,39173.19999998808,36785.864,36788.60000002384,36802.531,39185.912,,white
,Frame,canvas.Frame,3_4,2022-03-01T09:08:07.500Z,,,,0,V,2376.069000023839,,,,,39178.69999998808,39178.60000002384,36785.864,36787.69999998808,36802.531,39185.912,,white
,Fixation,canvas.Screen,3_5_0_0,2022-03-01T09:08:09.493Z,,,,1,VA,2000.0400000000009,timeout,,,,41172,41169.285,39169.245,39179.89999997616,39185.912,41185.952,,white
,Stimulus,canvas.Screen,3_5_0_1,2022-03-01T09:08:09.593Z,,,,1,VA,100.00200000000041,timeout,,,,41271.60000002384,41269.287,41169.285,41172.39999997616,41185.952,41285.954,,white
,Reaction,canvas.Screen,3_5_0_2,2022-03-01T09:08:09.799Z,,,,1,VA,187.0460000000021,response,,stim_detected,keydown(Space),41477.89999997616,41473,41269.287,41271.80000001192,41285.954,41485.958,,white
,Trial,flow.Sequence,3_5_0,2022-03-01T09:08:09.799Z,,,,1,VA,2287.0880000000034,completion,,,,41478.19999998808,41473,39169.245,39179.89999997616,39185.912,41485.958,,white
,Frame,canvas.Frame,3_5,2022-03-01T09:08:09.800Z,,,,1,VA,2292.3880000119243,,,,,41478.39999997616,41478.30000001192,39169.245,39178.89999997616,39185.912,41485.958,,white
,Fixation,canvas.Screen,3_6_0_0,2022-03-01T09:08:11.892Z,,,,1,A,2100.0420000000013,timeout,,,,43570.39999997616,43569.333,41469.291,41480.10000002384,41485.958,43586,,grey
,Stimulus,canvas.Screen,3_6_0_1,2022-03-01T09:08:11.993Z,,,,1,A,100.00200000000041,timeout,,,,43672,43669.335,43569.333,43570.60000002384,43586,43686.002,,grey
,Reaction,canvas.Screen,3_6_0_2,2022-03-01T09:08:13.493Z,,,,1,A,1500.0299999999988,timeout,,,,45171.5,45169.365,43669.335,43672.19999998808,43686.002,45186.032,,grey
,Trial,flow.Sequence,3_6_0,2022-03-01T09:08:13.493Z,,,,1,A,3683.4069999999992,completion,,,,45171.69999998808,45169.365,41469.291,41480,41485.958,45186.032,,grey
,Frame,canvas.Frame,3_6,2022-03-01T09:08:13.493Z,,,,1,A,3685.842000011922,,,,,45172,45171.80000001192,41469.291,41478.5,41485.958,45202.699,,grey
,Fixation,canvas.Screen,3_7_0_0,2022-03-01T09:08:15.843Z,,,,1,A,2333.3799999999974,timeout,,,,47522.10000002384,47519.412,45186.032,45173,45202.699,47536.079,,grey
,Stimulus,canvas.Screen,3_7_0_1,2022-03-01T09:08:15.943Z,,,,1,A,100.00200000000041,timeout,,,,47622.19999998808,47619.414,47519.412,47522.39999997616,47536.079,47636.081,,grey
,Reaction,canvas.Screen,3_7_0_2,2022-03-01T09:08:16.974Z,,,,1,A,1011.7190000119226,response,,stim_detected,keydown(Space),48652.5,48647.80000001192,47619.414,47622.39999997616,47636.081,48669.435,,grey
,Trial,flow.Sequence,3_7_0,2022-03-01T09:08:16.974Z,,,,1,A,3445.1010000119204,completion,,,,48652.89999997616,48647.80000001192,45186.032,45173,45202.699,48669.435,,grey
,Frame,canvas.Frame,3_7,2022-03-01T09:08:16.974Z,,,,1,A,3450.3009999999995,,,,,48653,48653,45186.032,45172.10000002384,45202.699,48669.435,,grey
,Fixation,canvas.Screen,3_8_0_0,2022-03-01T09:08:19.226Z,,,,0,V,2250.0450000000055,timeout,,,,50905.10000002384,50902.813,48652.768,48654.10000002384,48669.435,50919.48,,white
,Stimulus,canvas.Screen,3_8_0_1,2022-03-01T09:08:19.326Z,,,,0,V,100.00200000000041,timeout,,,,51004.80000001192,51002.815,50902.813,50905.5,50919.48,51019.482,,white
,Reaction,canvas.Screen,3_8_0_2,2022-03-01T09:08:19.996Z,,,,0,V,651.2179999880755,response,,stim_detected,keydown(Space),51675.10000002384,51670.69999998808,51002.815,51004.89999997616,51019.482,51686.162,,white
,Trial,flow.Sequence,3_8_0,2022-03-01T09:08:19.997Z,,,,0,V,3001.2649999880814,completion,,,,51675.39999997616,51670.69999998808,48652.768,48654.10000002384,48669.435,51686.162,,white
,Frame,canvas.Frame,3_8,2022-03-01T09:08:19.997Z,,,,0,V,3006.0650000000023,,,,,51675.60000002384,51675.5,48652.768,48653.19999998808,48669.435,51686.162,,white
,Fixation,canvas.Screen,3_9_0_0,2022-03-01T09:08:22.259Z,,,,0,V,2266.712000000007,timeout,,,,53938.10000002384,53936.207,51669.495,51676.80000001192,51686.162,53952.874,,white
,Stimulus,canvas.Screen,3_9_0_1,2022-03-01T09:08:22.359Z,,,,0,V,100.00199999999313,timeout,,,,54038.19999998808,54036.209,53936.207,53938.30000001192,53952.874,54052.876,,white
,Reaction,canvas.Screen,3_9_0_2,2022-03-01T09:08:22.814Z,,,,0,V,435.62400000000343,response,,stim_detected,keydown(Space),54493,54488.5,54036.209,54038.39999997616,54052.876,54502.885,,white
,Trial,flow.Sequence,3_9_0,2022-03-01T09:08:22.815Z,,,,0,V,2802.3380000000034,completion,,,,54493.39999997616,54488.5,51669.495,51676.69999998808,51686.162,54502.885,,white
,Frame,canvas.Frame,3_9,2022-03-01T09:08:22.815Z,,,,0,V,2807.3380000000034,,,,,54493.60000002384,54493.5,51669.495,51675.80000001192,51686.162,54502.885,,white
,Fixation,canvas.Screen,3_10_0_0,2022-03-01T09:08:24.993Z,,,,0,V,2183.3770000000004,timeout,,,,56671.69999998808,56669.595,54486.218,54494.89999997616,54502.885,56686.262,,white
,Stimulus,canvas.Screen,3_10_0_1,2022-03-01T09:08:25.092Z,,,,0,V,100.00200000000041,timeout,,,,56771,56769.597,56669.595,56671.89999997616,56686.262,56786.264,,white
,Reaction,canvas.Screen,3_10_0_2,2022-03-01T09:08:25.529Z,,,,0,V,417.0360000119181,response,,stim_detected,keydown(Space),57207.80000001192,57203.30000001192,56769.597,56771.10000002384,56786.264,57219.606,,white
,Trial,flow.Sequence,3_10_0,2022-03-01T09:08:25.529Z,,,,0,V,2700.415000011919,completion,,,,57208,57203.30000001192,54486.218,54494.80000001192,54502.885,57219.606,,white
