id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Chas Tenenbaum,Hello,html.Page,0,2022-03-01T10:13:56.979Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,30,,,8293.125,form submission,male,,,9461.899999976158,9461,1067.873,1087.300000011921,1167.875,9451.374,{},
,Instructions,html.Page,1,2022-03-01T10:13:57.962Z,,,,,,992.6260000000002,form submission,,,,10444.599999964237,10444,9434.707,9462.399999976158,9451.374,10451.394,,
,Change Background,canvas.Screen,2,2022-03-01T10:14:00.955Z,,,,,,3000.0599999999995,timeout,,,,13438.099999964237,13434.787,10434.727,10444.800000011921,10451.394,13451.454,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T10:14:03.305Z,,,,0,V,2350.0470000000005,timeout,,,,15787.699999988079,15784.834,13434.787,13439.5,13451.454,15801.501,,white
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T10:14:03.405Z,,,,0,V,100.00200000000041,timeout,,,,15887.300000011921,15884.836,15784.834,15788,15801.501,15901.503,,white
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T10:14:03.657Z,,,,0,V,219.0969999642366,response,,stim_detected,keydown(Space),16139.599999964237,16120.599999964237,15884.836,15887.599999964237,15901.503,16134.841,,white
,Trial,flow.Sequence,3_0_0,2022-03-01T10:14:03.657Z,,,,0,V,2669.1459999642375,completion,,,,16139.899999976158,16120.599999964237,13434.787,13439.399999976158,13451.454,16134.841,,white
,Frame,canvas.Frame,3_0,2022-03-01T10:14:03.658Z,,,,0,V,2688.5460000000003,,,,,16140,16140,13434.787,13438.300000011921,13451.454,16134.841,,white
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T10:14:05.338Z,,,,1,VA,1700.0339999999997,timeout,,,,17820.80000001192,17818.208,16118.174,16140.699999988079,16134.841,17834.875,,white
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T10:14:05.438Z,,,,1,VA,100.00200000000041,timeout,,,,17920.099999964237,17918.21,17818.208,17821.5,17834.875,17934.877,,white
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T10:14:05.685Z,,,,1,VA,227.42300001192052,response,,stim_detected,keydown(Space),18167.099999964237,18162.30000001192,17918.21,17920.30000001192,17934.877,18184.882,,white
,Trial,flow.Sequence,3_1_0,2022-03-01T10:14:05.685Z,,,,1,VA,2027.4590000119206,completion,,,,18167.80000001192,18162.30000001192,16118.174,16140.699999988079,16134.841,18184.882,,white
