id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Ari Tenenbaum,Hello,html.Page,0,2022-03-01T10:19:19.493Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,10,,,9077.063999952315,form submission,nb,,,10065.899999976158,10065.299999952316,971.569,979.8999999761581,988.236,10055.084,{},
,Instructions,html.Page,1,2022-03-01T10:19:20.210Z,,,,,,727.3159999761574,form submission,,,,10783,10782.399999976158,10038.417,10066.299999952316,10055.084,10788.432,,
,Change Background,canvas.Screen,2,2022-03-01T10:19:23.202Z,,,,,,3000.0599999999995,timeout,,,,13774.699999988079,13771.825,10771.765,10783.5,10788.432,13788.492,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T10:19:25.519Z,,,,1,A,2316.7129999999997,timeout,,,,16091.099999964237,16088.538,13771.825,13776.299999952316,13788.492,16105.205,,grey
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T10:19:25.619Z,,,,1,A,100.00200000000041,timeout,,,,16191.399999976158,16188.54,16088.538,16091.399999976158,16105.205,16205.207,,grey
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T10:19:25.918Z,,,,1,A,280.1929999761578,response,,stim_detected,keydown(Space),16490.399999976158,16485.399999976158,16188.54,16191.699999988079,16205.207,16505.213,,grey
,Trial,flow.Sequence,3_0_0,2022-03-01T10:19:25.918Z,,,,1,A,2696.907999976158,completion,,,,16491,16485.399999976158,13771.825,13776.099999964237,13788.492,16505.213,,grey
,Frame,canvas.Frame,3_0,2022-03-01T10:19:25.919Z,,,,1,A,2702.607999964237,,,,,16491.19999998808,16491.099999964237,13771.825,13775.099999964237,13788.492,16505.213,,grey
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T10:19:27.502Z,,,,0,V,1583.3650000000016,timeout,,,,18074.69999998808,18071.911,16488.546,16492.399999976158,16505.213,18088.578,,white
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T10:19:27.602Z,,,,0,V,100.00200000000041,timeout,,,,18174.19999998808,18171.913,18071.911,18075.19999998808,18088.578,18188.58,,white
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T10:19:27.829Z,,,,0,V,207.01999996423547,response,,stim_detected,keydown(Space),18401.299999952316,18395.599999964237,18171.913,18174.5,18188.58,18405.251,,white
,Trial,flow.Sequence,3_1_0,2022-03-01T10:19:27.829Z,,,,0,V,1890.3869999642375,completion,,,,18401.799999952316,18395.599999964237,16488.546,16492.399999976158,16505.213,18405.251,,white
,Frame,canvas.Frame,3_1,2022-03-01T10:19:27.830Z,,,,0,V,1896.6869999761584,,,,,18402.099999964237,18401.899999976158,16488.546,16491.399999976158,16505.213,18405.251,,white
,Fixation,canvas.Screen,3_2_0_0,2022-03-01T10:19:30.302Z,,,,0,V,2483.382999999998,timeout,,,,20874.299999952316,20871.967,18388.584,18403.299999952316,18405.251,20888.634,,white
,Stimulus,canvas.Screen,3_2_0_1,2022-03-01T10:19:30.402Z,,,,0,V,100.00200000000041,timeout,,,,20974.5,20971.969,20871.967,20874.5,20888.634,20988.636,,white
,Reaction,canvas.Screen,3_2_0_2,2022-03-01T10:19:30.593Z,,,,0,V,171.8640000000014,response,,stim_detected,keydown(Space),21165.299999952316,21160.5,20971.969,20974.69999998808,20988.636,21171.973,,white
,Trial,flow.Sequence,3_2_0,2022-03-01T10:19:30.593Z,,,,0,V,2755.249,completion,,,,21165.69999998808,21160.5,18388.584,18403.19999998808,18405.251,21171.973,,white
,Frame,canvas.Frame,3_2,2022-03-01T10:19:30.594Z,,,,0,V,2760.948999988079,,,,,21166.299999952316,21166.19999998808,18388.584,18402.19999998808,18405.251,21171.973,,white
,Fixation,canvas.Screen,3_3_0_0,2022-03-01T10:19:32.135Z,,,,1,VA,1550.030999999999,timeout,,,,22707.69999998808,22705.337,21155.306,21167.599999964237,21171.973,22722.004,,white
,Stimulus,canvas.Screen,3_3_0_1,2022-03-01T10:19:32.236Z,,,,1,VA,100.00200000000041,timeout,,,,22807.899999976158,22805.339,22705.337,22708,22722.004,22822.006,,white
,Reaction,canvas.Screen,3_3_0_2,2022-03-01T10:19:32.398Z,,,,1,VA,143.593999964236,response,,stim_detected,keydown(Space),22970,22965.599999964237,22805.339,22808.099999964237,22822.006,22972.009,,white
,Trial,flow.Sequence,3_3_0,2022-03-01T10:19:32.398Z,,,,1,VA,1793.6269999642354,completion,,,,22970.299999952316,22965.599999964237,21155.306,21167.5,21171.973,22972.009,,white
,Frame,canvas.Frame,3_3,2022-03-01T10:19:32.398Z,,,,1,VA,1798.3269999523145,,,,,22970.399999976158,22970.299999952316,21155.306,21166.5,21171.973,22972.009,,white
,Fixation,canvas.Screen,3_4_0_0,2022-03-01T10:19:34.186Z,,,,1,A,1800.036,timeout,,,,24758,24755.378,22955.342,22971.69999998808,22972.009,24772.045,,grey
,Stimulus,canvas.Screen,3_4_0_1,2022-03-01T10:19:34.286Z,,,,1,A,100.00200000000041,timeout,,,,24857.69999998808,24855.38,24755.378,24758.299999952316,24772.045,24872.047,,grey
