id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Richie Tenenbaum,Hello,html.Page,0,2022-03-01T09:33:57.687Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,35,,,8156.306999988079,form submission,male,,,9416.300000011921,9415.699999988079,1226.059,1236.5,1259.393,9409.556,{},
,Instructions,html.Page,1,2022-03-01T09:33:58.370Z,,,,,,689.7440000119204,form submission,,,,10099.899999976158,10099.300000011921,9392.889,9416.800000011921,9409.556,10142.904,,
,Change Background,canvas.Screen,2,2022-03-01T09:34:01.399Z,,,,,,3000.0599999999995,timeout,,,,13128.5,13126.297,10092.903,10100.100000023842,10142.904,13142.964,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T09:34:03.516Z,,,,0,V,2116.7090000000007,timeout,,,,15245,15243.006,13126.297,13130,13142.964,15259.673,,white
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T09:34:03.616Z,,,,0,V,100.00199999999859,timeout,,,,15345.399999976158,15343.008,15243.006,15245.300000011921,15259.673,15359.675,,white
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T09:34:03.914Z,,,,0,V,264.5249999880798,response,,stim_detected,keydown(Space),15643.899999976158,15624.199999988079,15343.008,15345.699999988079,15359.675,15643.014,,white
,Trial,flow.Sequence,3_0_0,2022-03-01T09:34:03.915Z,,,,0,V,2481.235999988079,completion,,,,15644.100000023842,15624.199999988079,13126.297,13129.899999976158,13142.964,15643.014,,white
,Frame,canvas.Frame,3_0,2022-03-01T09:34:03.915Z,,,,0,V,2501.235999988079,,,,,15644.199999988079,15644.199999988079,13126.297,13128.899999976158,13142.964,15643.014,,white
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T09:34:05.515Z,,,,1,A,1616.6990000000005,timeout,,,,17244,17243.046,15626.347,15645,15643.014,17259.713,,grey
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T09:34:05.640Z,,,,1,A,100.00200000000041,timeout,,,,17369.899999976158,17343.048,17243.046,17244.399999976158,17259.713,17359.715,,grey
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T09:34:05.941Z,,,,1,A,306.4849999880789,response,,stim_detected,keydown(Space),17670.80000001192,17666.19999998808,17343.048,17370.100000023842,17359.715,17676.388,,grey
